ID_DISCENTE,SEXO,ESTADO_CIVIL,DATA_NASCIMENTO,RACA_COR,DEFICIENCIA,NATURALIDADE,UF_NATURALIDADE,DESCR_BAIRRO,CIDADE_END,UF_CIDADE_END,FORMA_INGRESSO,COD_CURSO,CURSO,ANO_INGRESSO,PERIODO_INGRESSO
139991,M,Solteiro(a),19/06/1989,Negra,,Tete / Tete,MOZ,JAPIIM,MANAUS,AM,Processo Seletivo Mestrado,PPG-ATR-M,Mestrado em Agronomia Tropical,2019,1
139981,M,Solteiro(a),10/02/1984,Negra,,TETE,MOZ,PETROPOLIS,MANAUS,AM,Processo Seletivo Mestrado,PPG-EDU-M,Mestrado em Educação,2019,1
138537,M,Solteiro(a),03/02/1994,Negra,,Nampula,MOZ,PETROPOLIS,MANAUS,AM,Processo Seletivo Mestrado,PPG-CIS-M,Mestrado em Ciências da Saúde,2019,1
141001,F,Casado(a),24/06/1996,Branca,,ARAGUARI,MG,SAO PEDRO,MANAUS,AM,Processo Seletivo Mestrado,PPG-CA-M,Mestrado em Ciências Ambientais,2019,2
134457,F,Casado(a),16/09/1980,Branca,,PONTE NOVA,MG,COLONIA SANTO ANTONIO,MANAUS,AM,Processo Seletivo Mestrado,PPG-CFAR-M,Mestrado em Ciências Farmacêuticas,2018,2
140043,M,Solteiro(a),25/06/1987,Negra,,PINHEIRO,MA,CIDADE DE DEUS,MANAUS,AM,Processo Seletivo Mestrado,PPG-ECIM,Mestrado em Ensino de Ciências e Matemática,2019,1
47874,M,Solteiro(a),17/05/1982,Parda,,LAGO DA PEDRA,MA,MONTE DAS OLIVEIRAS,MANAUS,AM,Processo Seletivo Mestrado,PPG-ECIM,Mestrado em Ensino de Ciências e Matemática,2019,1
138469,M,Solteiro(a),29/06/1985,Branca,,CARACAS,VEN,UNIAO,MANAUS,AM,Processo Seletivo Mestrado,PPG-SES-M,Mestrado em Serviço Social e Sustentabilidade na Amazônia,2019,1
110184,M,Solteiro(a),14/11/1976,Branca,,PELOTAS,RS,CENTRO,MANAUS,AM,Processo Seletivo Doutorado,PPG-SCA-D,Doutorado em Sociedade e Cultura na Amazônia,2017,1
140013,M,Solteiro(a),03/09/1994,Parda,,CRUZ ALTA,RS,SAO JORGE,MANAUS,AM,Processo Seletivo Mestrado,PPG-INF-M,Mestrado em Informática,2019,1
140008,M,Solteiro(a),31/08/1996,Branca,,BOA VISTA,RR,MACEJANA,MANAUS,AM,Processo Seletivo Mestrado,PPG-INF-M,Mestrado em Informática,2019,1
65058,F,Solteiro(a),22/05/1992,Parda,,BOA VISTA,RR,CIDADE NOVA,MANAUS,AM,Processo Seletivo Mestrado,PPG-PSIC-M,Mestrado em Psicologia,2018,2
63901,F,Solteiro(a),03/01/1973,Branca,,PORTO VELHO,RO,ALEIXO,MANAUS,AM,Processo Seletivo Doutorado,PPG-BIOT-D,Doutorado em Biotecnologia,2015,1
112927,M,Solteiro(a),02/02/1989,Negra,,PIMENTA BUENO,RO,PRACA 14,MANAUS,AM,Processo Seletivo Mestrado,PPG-ATR-M,Mestrado em Agronomia Tropical,2019,1
63787,M,Casado(a),08/11/1990,Parda,,PORTO VELHO,RO,FLORES,MANAUS,AM,Processo Seletivo Doutorado,PPG-BIOT-D,Doutorado em Biotecnologia,2016,1
91532,M,Uniao Estavel,05/03/1979,Branca,,RIO DE JANEIRO,RJ,ADRIANOPOLIS,MANAUS,AM,Processo Seletivo Mestrado,PPG-ANS-M,Mestrado em Antropologia Social,2019,1
142059,M,Casado(a),22/06/1978,Negra,,NOVA IGUACU,RJ,SAO JORGE,MANAUS,AM,Processo Seletivo Mestrado,PPG-DIR-M,Mestrado em Direito,2019,2
140040,M,Casado(a),21/07/1986,Negra,,RIO DE JANEIRO,RJ,COMPENSA,MANAUS,AM,Processo Seletivo Mestrado,PPG-ECIM,Mestrado em Ensino de Ciências e Matemática,2019,1
73614,M,Solteiro(a),13/04/1992,Branca,,MARINGA,PR,LIRIO DO VALLE II,MANAUS,AM,Processo Seletivo Mestrado,PPG-ENP-M,Mestrado em Engenharia de Produção,2019,1
24564,M,Casado(a),07/07/1968,Parda,,MARINGA,PR,NOVA CIDADE,MANAUS,AM,Processo Seletivo Mestrado,PPG-LET-M,Mestrado em Letras,2018,2
123731,F,Solteiro(a),13/07/1991,Negra,,Santo Domingo,,COROADO,MANAUS,AM,Processo Seletivo Doutorado,PPG-IMU-D,Doutorado em Imunologia Básica e Aplicada,2017,1
113011,F,Casado(a),23/06/1983,Branca,,BARIRI,SP,ALEIXO,MANAUS,AM,Processo Seletivo Doutorado,PPG-CASA-D,Doutorado em Ciências do Ambiente e Sustentabilidade na Amazônia,2018,1
138577,M,Casado(a),24/11/1978,Branca,,SAO PAULO,SP,ADRIANAPOLIS,MANAUS,AM,Processo Seletivo Mestrado,PPG-ENP-M,Mestrado em Engenharia de Produção,2019,1
74536,M,Solteiro(a),27/08/1993,Branca,,SAO CARLOS,SP,ALEIXO,MANAUS,AM,Processo Seletivo Mestrado,PPG-ANS-M,Mestrado em Antropologia Social,2019,1
132113,F,Casado(a),18/12/1981,Amarela,,SAO PAULO,SP,SAO JORGE,MANAUS,AM,Processo Seletivo Mestrado,PPG-CASA-M,Mestrado em Ciências do Ambiente e Sustentabilidade na Amazônia,2018,1
41975,F,Casado(a),28/11/1987,Parda,,ARACAJU,SE,SAO GERALDO,MANAUS,AM,Processo Seletivo Doutorado,PPG-CARP-D,Doutorado em Ciência Animal e Recursos Pesqueiros,2014,1
124878,M,Solteiro(a),20/09/1983,Indígena,,IQUITOS,PER,ALEIXO,MANAUS,AM,Processo Seletivo Doutorado,PPG-ATR-D,Doutorado em Agronomia Tropical,2017,1
60135,M,Solteiro(a),18/08/1989,Branca,,RECIFE,PE,CIDADE NOVA I,MANAUS,AM,Processo Seletivo Mestrado,PPG-HIP-M,Mestrado em História -  Política,2017,1
59212,F,Casado(a),19/06/1965,Parda,,ALTINHO,PE,ALEIXO,MANAUS,AM,Processo Seletivo Mestrado,PPG-SES-M,Mestrado em Serviço Social e Sustentabilidade na Amazônia,2019,1
66117,F,Solteiro(a),14/11/1990,Parda,,GARANHUNS,PE,SAO FRANCISCO,MANAUS,AM,Processo Seletivo Mestrado,PROFNIT-MP,Mestrado Profissional em Propriedade Intelectual e Transferência de Tecnologia para Inovação,2018,2
66117,F,Solteiro(a),14/11/1990,Parda,,GARANHUNS,PE,SAO FRANCISCO,MANAUS,AM,Processo Seletivo Mestrado,PROFNIT-MP,Mestrado Profissional em Propriedade Intelectual e Transferência de Tecnologia para Inovação,2018,2
79147,F,Casado(a),07/11/1988,Branca,,CAMPINA GRANDE,PB,JAPIIM 2,MANAUS,AM,Processo Seletivo Doutorado,PPG-SCA-D,Doutorado em Sociedade e Cultura na Amazônia,2017,1
79147,F,Casado(a),07/11/1988,Branca,,CAMPINA GRANDE,PB,JAPIIM 2,MANAUS,AM,Processo Seletivo Doutorado,PPG-SCA-D,Doutorado em Sociedade e Cultura na Amazônia,2017,1
140455,F,Casado(a),05/12/1967,Branca,,INHANGAPI,PA,PETROPOLIS,MANAUS,AM,Processo Seletivo Mestrado,PPG-ENF-MP,Mestrado em Enfermagem no Contexto Amazônico,2019,1
138554,M,Solteiro(a),06/10/1961,Branca,,ALENQUER,PA,SAO JOSE,MANAUS,AM,Processo Seletivo Mestrado,PPG-LET-M,Mestrado em Letras,2019,1
84301,M,Solteiro(a),06/12/1994,Branca,,ALTAMIRA,PA,Coroado,MANAUS,AM,Processo Seletivo Mestrado,PPG-IMU-M,Mestrado em Imunologia Básica e Aplicada,2019,1
141017,F,Solteiro(a),26/12/1990,Branca,,BELEM,PA,LIRIO DO VALE,MANAUS,AM,Processo Seletivo Mestrado,PPG-EDU-M,Mestrado em Educação,2019,2
138467,F,Solteiro(a),05/10/1978,Branca,,CAPANEMA,PA,FLORES,MANAUS,AM,Processo Seletivo Mestrado,PPG-SES-M,Mestrado em Serviço Social e Sustentabilidade na Amazônia,2019,1
139810,F,Solteiro(a),24/04/1994,Branca,,ORIXIMINA,PA,RAIZ,MANAUS,AM,Processo Seletivo Mestrado,PPG-CASA-M,Mestrado em Ciências do Ambiente e Sustentabilidade na Amazônia,2019,1
66103,M,Casado(a),24/12/1991,Negra,,SANTAREM,PA,SAO JOSE OPERARIO 3,MANAUS,AM,Processo Seletivo Mestrado,PPG-SOC-M,Mestrado em Sociologia,2017,2
138435,M,Solteiro(a),07/05/1996,Negra,,BELEM,PA,PARQUE 10 DE NOVEMBRO,MANAUS,AM,Processo Seletivo Mestrado,PPG-SCA-M,Mestrado em Sociedade e Cultura na Amazônia,2019,1
83893,F,Solteiro(a),13/07/1992,Amarela,,ORIXIMINA,PA,COROADO I,MANAUS,AM,Processo Seletivo Mestrado,PPG-CARP-M,Mestrado em Ciência Animal e Recursos Pesqueiros,2019,1
134492,F,Solteiro(a),18/03/1995,Amarela,,SANTAREM,PA,SAO JOSE 2,MANAUS,AM,Processo Seletivo Mestrado,PPG-CEM-M,Mestrado em Ciência e Engenharia de Materiais,2018,2
20522,M,Solteiro(a),10/07/1986,Parda,,BELEM,PA,LAGOA AZUL,MANAUS,AM,Processo Seletivo Mestrado,PPG-EDU-M,Mestrado em Educação,2019,2
102027,M,Solteiro(a),28/05/1994,Parda,,JURUTI,PA,CIDADE NOVA II,MANAUS,AM,Processo Seletivo Mestrado,PPG-LET-M,Mestrado em Letras,2019,1
54343,F,Solteiro(a),31/03/1990,Parda,,MOCAJUBA,PA,TANCREDO NEVES,MANAUS,AM,Processo Seletivo Doutorado,PPG-QUI-D,Doutorado em Química,2017,1
45206,F,Solteiro(a),22/07/1976,Parda,,SANTAREM,PA,NOVA CIDADE,MANAUS,AM,Processo Seletivo Mestrado,PPG-SCA-M,Mestrado em Sociedade e Cultura na Amazônia,2018,1
67598,M,Solteiro(a),21/08/1991,Parda,,SANTAREM,PA,CAMPOS ELISEOS - PLANALTO,MANAUS,AM,Processo Seletivo Mestrado,PPG-EDU-M,Mestrado em Educação,2019,2
39230,F,Solteiro(a),05/10/1983,Não Declarada,,SANTAREM,PA,COMPENSA II,MANAUS,AM,Processo Seletivo Mestrado,PPG-INF-M,Mestrado em Informática,2018,2
139987,M,Solteiro(a),20/05/1983,Negra,,Ouest,HTI,COROADO,MANAUS,AM,Processo Seletivo Mestrado,PPG-ATR-M,Mestrado em Agronomia Tropical,2019,1
142057,M,Casado(a),31/03/1976,Branca,,BRASILIA,DF,SAO JORGE,MANAUS,AM,Processo Seletivo Mestrado,PPG-DIR-M,Mestrado em Direito,2019,2
81213,F,Casado(a),05/09/1978,Branca,,PARAMBU,CE,PLANALTO,MANAUS,AM,Processo Seletivo Mestrado,PPG-PSIC-M,Mestrado em Psicologia,2018,2
76839,M,Casado(a),05/08/1981,Branca,,VARZEA ALEGRE,CE,PARQUE 10 DE NOVEMBRO,MANAUS,AM,Processo Seletivo Doutorado,PPG-ENE-D,Doutorado em Engenharia Elétrica,2020,1
98986,F,Solteiro(a),26/10/1995,Branca,,FORTALEZA,CE,CIDADE NOVA,MANAUS,AM,Processo Seletivo Mestrado,PPG-CFAR-M,Mestrado em Ciências Farmacêuticas,2019,2
74432,M,Solteiro(a),09/10/1992,Parda,,FORTALEZA,CE,ADRIANOPOLIS,MANAUS,AM,Processo Seletivo Mestrado,PROFNIT-MP,Mestrado Profissional em Propriedade Intelectual e Transferência de Tecnologia para Inovação,2019,1
59520,F,Uniao Estavel,18/06/1971,Branca,,IPIXUNA,AM,SAO SEBASTIAO,MANAUS,AM,Processo Seletivo Mestrado,PPG-EDU-M,Mestrado em Educação,2019,2
102372,F,Divorciado(a),07/02/1974,Branca,,CAREIRO,AM,CIDADE NOVA,MANAUS,AM,Processo Seletivo Mestrado,PPG-GEO-M,Mestrado em Geografia,2018,1
147143,F,Divorciado(a),26/10/1966,Branca,,MANAUS,AM,CHAPADA,MANAUS,AM,Processo Seletivo Doutorado,PPG-EDA-D,Doutorado em Educação na Amazônia,2020,1
142061,F,Divorciado(a),28/11/1975,Branca,,MANAUS,AM,ADRIANOPOLIS,MANAUS,AM,Processo Seletivo Mestrado,PPG-DIR-M,Mestrado em Direito,2019,2
61983,F,Casado(a),13/09/1975,Branca,,ATALAIA DO NORTE,AM,LAGO AZUL,MANAUS,AM,Processo Seletivo Mestrado,PPG-LET-M,Mestrado em Letras,2019,1
47222,F,Casado(a),04/09/1985,Branca,,MANAUS,AM,PARQUE DEZ,MANAUS,AM,Processo Seletivo Doutorado,PPG-BIOT-D,Doutorado em Biotecnologia,2015,1
64801,F,Casado(a),18/03/1992,Branca,,MANAUS,AM,FLORES,MANAUS,AM,Processo Seletivo Doutorado,PPG-ATR-D,Doutorado em Agronomia Tropical,2017,1
41811,F,Casado(a),31/03/1968,Branca,,MANAUS,AM,PARQUE DAS LARANJEIRAS,MANAUS,AM,Processo Seletivo Doutorado,PPG-EDU-D,Doutorado em Educação,2018,2
41811,F,Casado(a),31/03/1968,Branca,,MANAUS,AM,,MANAUS,AM,Processo Seletivo Doutorado,PPG-EDU-D,Doutorado em Educação,2018,2
98499,F,Casado(a),02/05/1990,Branca,,MANAUS,AM,VILA DA PRATA,MANAUS,AM,Processo Seletivo Doutorado,PPG-IMU-D,Doutorado em Imunologia Básica e Aplicada,2017,1
138441,F,Casado(a),15/04/1970,Branca,,MANAUS,AM,FLORES,MANAUS,AM,Processo Seletivo Mestrado,PPG-SCA-M,Mestrado em Sociedade e Cultura na Amazônia,2019,1
